2020-12-28 12:37:05|	Start init-ing Frame
2020-12-28 12:37:06|	Finish init-ing Frame
2020-12-28 12:37:13|	Click in work area. Current component: null
2020-12-28 12:37:13|	Repaint all
2020-12-28 12:37:14|	Click in work area. Current component: null
2020-12-28 12:37:14|	Repaint all
2020-12-28 12:37:15|	Click in work area. Current component: null
2020-12-28 12:37:15|	Repaint all
2020-12-28 12:37:16|	Click button O
2020-12-28 12:37:17|	Click in work area. Current component: O
2020-12-28 12:37:18|	Click in work area. Current component: O
2020-12-28 12:37:19|	Click in work area. Current component: O
2020-12-28 12:37:19|	Click in work area. Current component: O
2020-12-28 12:37:20|	Click in work area. Current component: O
2020-12-28 12:37:22|	Click button choice/bind
