2020-12-28 13:30:34|	Start init-ing Frame
2020-12-28 13:30:36|	Finish init-ing Frame
2020-12-28 13:30:50|	Click in work area. Current component: null
2020-12-28 13:30:50|	Repaint all
2020-12-28 13:30:51|	Click save
2020-12-28 13:30:53|	Click save
2020-12-28 13:30:55|	Click save
2020-12-28 13:31:09|	Click save
2020-12-28 13:31:11|	Click save
2020-12-28 13:31:14|	Click save
2020-12-28 13:31:17|	Click in work area. Current component: null
2020-12-28 13:31:17|	Repaint all
2020-12-28 13:31:23|	Click save
2020-12-28 13:31:26|	Click save
