2020-12-28 10:57:32|	Start init-ing Frame
2020-12-28 10:57:35|	Finish init-ing Frame
2020-12-28 10:57:50|	Click button O
2020-12-28 10:57:51|	Click in work area. Current component: O
2020-12-28 10:57:51|	Click in work area. Current component: O
2020-12-28 10:57:52|	Click button choice/bind
2020-12-28 10:57:53|	Click in work area. Current component: null
2020-12-28 10:57:53|	Choose 0th component: 0::0::255::O::Atom::2::178::170::16::16::0::-1::-1
2020-12-28 10:57:53|	Repaint all
2020-12-28 10:57:54|	Click in work area. Current component: null
2020-12-28 10:57:54|	Choose 1th component: 0::0::255::O::Atom::2::258::118::16::16::0::-1::-1
2020-12-28 10:57:54|	Repaint all
2020-12-28 10:58:02|	Click button H
2020-12-28 10:58:02|	Click in work area. Current component: H
