2020-12-28 16:03:30|	Start init-ing Frame
2020-12-28 16:03:32|	Finish init-ing Frame
2020-12-28 16:03:35|	Click load
2020-12-28 16:03:40|	Repaint all
2020-12-28 16:03:43|	Click in work area. Current component: null
2020-12-28 16:03:43|	Repaint all
2020-12-28 16:03:44|	Click in work area. Current component: null
2020-12-28 16:03:44|	Repaint all
2020-12-28 16:03:48|	Click in work area. Current component: null
2020-12-28 16:03:48|	Repaint all
2020-12-28 16:03:48|	Click in work area. Current component: null
2020-12-28 16:03:48|	Repaint all
2020-12-28 16:03:49|	Click in work area. Current component: null
2020-12-28 16:03:49|	Repaint all
2020-12-28 16:03:50|	Click in work area. Current component: null
2020-12-28 16:03:50|	Repaint all
