2020-12-27 21:28:40|	Start init-ing Frame
2020-12-27 21:28:41|	Finish init-ing Frame
2020-12-27 21:28:45|	Click button C
2020-12-27 21:28:57|	Click in work area. Current component: C
2020-12-27 21:28:58|	Click in work area. Current component: C
2020-12-27 21:29:00|	Click in work area. Current component: C
2020-12-27 21:29:01|	Click button O
2020-12-27 21:29:03|	Click in work area. Current component: O
2020-12-27 21:29:05|	Click in work area. Current component: O
2020-12-27 21:29:06|	Click in work area. Current component: O
2020-12-27 21:29:07|	Click button choice/bind
2020-12-27 21:29:09|	Click in work area. Current component: null
2020-12-27 21:29:09|	Choose 1th component: 255::0::0::C::Atom::4::136::207::12::12::0::-1::-1::-1::-1
2020-12-27 21:29:09|	Repaint all
2020-12-27 21:29:10|	Click in work area. Current component: null
2020-12-27 21:29:10|	Choose 0th component: 255::0::0::C::Atom::4::178::176::12::12::0::-1::-1::-1::-1
2020-12-27 21:29:10|	Repaint all
2020-12-27 21:29:11|	Click in work area. Current component: null
2020-12-27 21:29:11|	Choose 0th component: 255::0::0::C::Atom::4::178::176::12::12::1::1::-1::-1::-1
2020-12-27 21:29:11|	Repaint all
2020-12-27 21:29:11|	Click in work area. Current component: null
2020-12-27 21:29:11|	Choose 2th component: 255::0::0::C::Atom::4::207::211::12::12::0::-1::-1::-1::-1
2020-12-27 21:29:11|	Repaint all
2020-12-27 21:29:13|	Click in work area. Current component: null
2020-12-27 21:29:13|	Choose 2th component: 255::0::0::C::Atom::4::207::211::12::12::1::0::-1::-1::-1
2020-12-27 21:29:13|	Repaint all
2020-12-27 21:29:15|	Click in work area. Current component: null
2020-12-27 21:29:15|	Choose 4th component: 0::0::255::O::Atom::2::243::182::16::16::0::-1::-1
2020-12-27 21:29:15|	Repaint all
2020-12-27 21:29:16|	Click in work area. Current component: null
2020-12-27 21:29:16|	Choose 1th component: 255::0::0::C::Atom::4::136::207::12::12::1::0::-1::-1::-1
2020-12-27 21:29:16|	Repaint all
2020-12-27 21:29:17|	Click in work area. Current component: null
2020-12-27 21:29:17|	Choose 5th component: 0::0::255::O::Atom::2::95::180::16::16::0::-1::-1
2020-12-27 21:29:17|	Repaint all
2020-12-27 21:29:17|	Click in work area. Current component: null
2020-12-27 21:29:17|	Choose 0th component: 255::0::0::C::Atom::4::178::176::12::12::2::1::2::-1::-1
2020-12-27 21:29:17|	Repaint all
2020-12-27 21:29:18|	Click in work area. Current component: null
2020-12-27 21:29:18|	Choose 3th component: 0::0::255::O::Atom::2::173::126::16::16::0::-1::-1
2020-12-27 21:29:18|	Repaint all
2020-12-27 21:29:22|	Click button N
2020-12-27 21:29:24|	Click in work area. Current component: N
2020-12-27 21:29:26|	Click in work area. Current component: N
2020-12-27 21:29:27|	Click in work area. Current component: N
2020-12-27 21:29:29|	Click button O
2020-12-27 21:29:31|	Click in work area. Current component: O
2020-12-27 21:29:32|	Click in work area. Current component: O
2020-12-27 21:29:33|	Click button choice/bind
2020-12-27 21:29:35|	Click in work area. Current component: null
2020-12-27 21:29:35|	Choose 6th component: 255::0::255::N::Atom::3::57::208::14::14::0::-1::-1::-1
2020-12-27 21:29:35|	Repaint all
2020-12-27 21:29:35|	Click in work area. Current component: null
2020-12-27 21:29:35|	Choose 5th component: 0::0::255::O::Atom::2::95::180::16::16::1::1::-1
2020-12-27 21:29:35|	Repaint all
2020-12-27 21:29:36|	Click in work area. Current component: null
2020-12-27 21:29:36|	Choose 7th component: 255::0::255::N::Atom::3::261::209::14::14::0::-1::-1::-1
2020-12-27 21:29:36|	Repaint all
2020-12-27 21:29:37|	Click in work area. Current component: null
2020-12-27 21:29:37|	Choose 4th component: 0::0::255::O::Atom::2::243::182::16::16::1::2::-1
2020-12-27 21:29:37|	Repaint all
2020-12-27 21:29:40|	Click in work area. Current component: null
2020-12-27 21:29:40|	Choose 3th component: 0::0::255::O::Atom::2::173::126::16::16::1::0::-1
2020-12-27 21:29:40|	Repaint all
2020-12-27 21:29:40|	Click in work area. Current component: null
2020-12-27 21:29:40|	Choose 8th component: 255::0::255::N::Atom::3::198::89::14::14::0::-1::-1::-1
2020-12-27 21:29:40|	Repaint all
2020-12-27 21:29:44|	Click in work area. Current component: null
2020-12-27 21:29:44|	Choose 9th component: 0::0::255::O::Atom::2::243::89::16::16::0::-1::-1
2020-12-27 21:29:44|	Repaint all
2020-12-27 21:29:45|	Repaint all
2020-12-27 21:29:46|	Click button O
2020-12-27 21:29:48|	Click in work area. Current component: O
2020-12-27 21:29:55|	Click button choice/bind
2020-12-27 21:29:56|	Click in work area. Current component: null
2020-12-27 21:29:56|	Choose 10th component: 0::0::255::O::Atom::2::240::105::16::16::0::-1::-1
2020-12-27 21:29:56|	Repaint all
2020-12-27 21:29:56|	Click in work area. Current component: null
2020-12-27 21:29:56|	Choose 10th component: 0::0::255::O::Atom::2::240::105::16::16::0::-1::-1
2020-12-27 21:29:56|	Repaint all
2020-12-27 21:29:57|	Click in work area. Current component: null
2020-12-27 21:29:57|	Choose 8th component: 255::0::255::N::Atom::3::198::89::14::14::1::3::-1::-1
2020-12-27 21:29:57|	Repaint all
2020-12-27 21:29:58|	Click in work area. Current component: null
2020-12-27 21:29:58|	Choose 8th component: 255::0::255::N::Atom::3::198::89::14::14::2::3::10::-1
2020-12-27 21:29:58|	Repaint all
2020-12-27 21:29:59|	Click in work area. Current component: null
2020-12-27 21:29:59|	Choose 9th component: 0::0::255::O::Atom::2::210::42::16::16::0::-1::-1
2020-12-27 21:29:59|	Repaint all
2020-12-27 21:30:02|	Click button O
2020-12-27 21:30:04|	Click in work area. Current component: O
2020-12-27 21:30:06|	Click in work area. Current component: O
2020-12-27 21:30:08|	Click in work area. Current component: O
2020-12-27 21:30:11|	Click in work area. Current component: O
2020-12-27 21:30:12|	Click button choice/bind
2020-12-27 21:30:13|	Click in work area. Current component: null
2020-12-27 21:30:13|	Choose 7th component: 255::0::255::N::Atom::3::261::209::14::14::1::4::-1::-1
2020-12-27 21:30:13|	Repaint all
2020-12-27 21:30:14|	Click in work area. Current component: null
2020-12-27 21:30:14|	Choose 11th component: 0::0::255::O::Atom::2::285::184::16::16::0::-1::-1
2020-12-27 21:30:14|	Repaint all
2020-12-27 21:30:15|	Click in work area. Current component: null
