2020-12-27 21:11:20|	Start init-ing Frame
2020-12-27 21:11:22|	Finish init-ing Frame
2020-12-27 21:11:25|	Click save
2020-12-27 21:11:27|	Click load
2020-12-27 21:11:30|	Repaint all
2020-12-27 21:11:32|	Click button C
2020-12-27 21:11:34|	Click in work area. Current component: C
2020-12-27 21:11:35|	Click in work area. Current component: C
2020-12-27 21:11:36|	Click button O
2020-12-27 21:11:42|	Click in work area. Current component: O
2020-12-27 21:11:44|	Click in work area. Current component: O
2020-12-27 21:11:45|	Click button H
2020-12-27 21:11:46|	Click in work area. Current component: H
2020-12-27 21:11:47|	Click in work area. Current component: H
2020-12-27 21:11:48|	Click in work area. Current component: H
2020-12-27 21:11:48|	Click in work area. Current component: H
2020-12-27 21:11:50|	Click button choice/bind
2020-12-27 21:11:52|	Click in work area. Current component: null
2020-12-27 21:11:52|	Choose 7th component: 0::255::255::H::Atom::1::121::189::10::10::0::-1
2020-12-27 21:11:52|	Repaint all
2020-12-27 21:11:52|	Click in work area. Current component: null
2020-12-27 21:11:52|	Choose 0th component: 255::0::0::C::Atom::4::123::162::12::12::0::-1::-1::-1::-1
2020-12-27 21:11:52|	Repaint all
2020-12-27 21:11:53|	Click in work area. Current component: null
2020-12-27 21:11:53|	Choose 0th component: 255::0::0::C::Atom::4::123::162::12::12::1::7::-1::-1::-1
2020-12-27 21:11:53|	Repaint all
2020-12-27 21:11:53|	Click in work area. Current component: null
2020-12-27 21:11:53|	Choose 5th component: 0::255::255::H::Atom::1::97::161::10::10::0::-1
2020-12-27 21:11:53|	Repaint all
2020-12-27 21:11:54|	Click in work area. Current component: null
2020-12-27 21:11:54|	Choose 6th component: 0::255::255::H::Atom::1::121::133::10::10::0::-1
2020-12-27 21:11:54|	Repaint all
2020-12-27 21:11:55|	Click in work area. Current component: null
2020-12-27 21:11:55|	Choose 0th component: 255::0::0::C::Atom::4::123::162::12::12::2::7::5::-1::-1
2020-12-27 21:11:55|	Repaint all
2020-12-27 21:11:55|	Click in work area. Current component: null
2020-12-27 21:11:55|	Choose 0th component: 255::0::0::C::Atom::4::123::162::12::12::3::7::5::6::-1
2020-12-27 21:11:55|	Repaint all
2020-12-27 21:11:56|	Click in work area. Current component: null
2020-12-27 21:11:56|	Choose 1th component: 255::0::0::C::Atom::4::189::161::12::12::0::-1::-1::-1::-1
2020-12-27 21:11:56|	Repaint all
2020-12-27 21:11:56|	Click in work area. Current component: null
2020-12-27 21:11:56|	Choose 1th component: 255::0::0::C::Atom::4::189::161::12::12::1::0::-1::-1::-1
2020-12-27 21:11:56|	Repaint all
2020-12-27 21:11:57|	Click in work area. Current component: null
2020-12-27 21:11:57|	Choose 3th component: 0::0::255::O::Atom::2::210::134::16::16::0::-1::-1
2020-12-27 21:11:57|	Repaint all
2020-12-27 21:11:57|	Click in work area. Current component: null
2020-12-27 21:11:57|	Choose 3th component: 0::0::255::O::Atom::2::210::134::16::16::1::1::-1
2020-12-27 21:11:57|	Repaint all
2020-12-27 21:11:58|	Click in work area. Current component: null
2020-12-27 21:11:58|	Choose 4th component: 0::255::255::H::Atom::1::235::114::10::10::0::-1
2020-12-27 21:11:58|	Repaint all
2020-12-27 21:11:59|	Click in work area. Current component: null
2020-12-27 21:11:59|	Choose 1th component: 255::0::0::C::Atom::4::189::161::12::12::2::0::3::-1::-1
2020-12-27 21:11:59|	Repaint all
2020-12-27 21:12:00|	Click in work area. Current component: null
2020-12-27 21:12:00|	Choose 2th component: 0::0::255::O::Atom::2::208::187::16::16::0::-1::-1
2020-12-27 21:12:00|	Repaint all
2020-12-27 21:12:47|	Click in work area. Current component: null
2020-12-27 21:12:47|	Choose 2th component: 0::0::255::O::Atom::2::208::187::16::16::1::1::-1
2020-12-27 21:12:47|	Repaint all
2020-12-27 21:12:50|	Click in work area. Current component: null
2020-12-27 21:12:50|	Choose 1th component: 255::0::0::C::Atom::4::189::161::12::12::3::0::3::2::-1
2020-12-27 21:12:50|	Repaint all
2020-12-27 21:13:02|	Click save
2020-12-27 21:16:45|	Repaint all
2020-12-27 21:16:46|	Click load
2020-12-27 21:17:04|	java.io.FileNotFoundException: C:\Users\maksi\IdeaProjects\Moleksy\Molecules\Ethil (Не удается найти указанный файл)
2020-12-27 21:17:09|	Click load
2020-12-27 21:17:16|	Repaint all
2020-12-27 21:17:22|	Click in work area. Current component: null
2020-12-27 21:17:22|	Repaint all
2020-12-27 21:17:24|	Click in work area. Current component: null
2020-12-27 21:17:24|	Repaint all
2020-12-27 21:17:27|	Click in work area. Current component: null
2020-12-27 21:17:27|	Choose 2th component: 0::0::255::O::Atom::2::208::187::16::16::2::1::1
2020-12-27 21:17:27|	Repaint all
2020-12-27 21:17:28|	Click in work area. Current component: null
2020-12-27 21:17:28|	Choose 3th component: 0::0::255::O::Atom::2::210::134::16::16::2::1::4
2020-12-27 21:17:28|	Repaint all
2020-12-27 21:17:29|	Click in work area. Current component: null
2020-12-27 21:17:29|	Repaint all
