2020-12-29 15:14:10|	Start init-ing Frame
2020-12-29 15:14:11|	main frame part 1 init-ed
2020-12-29 15:14:12|	file chooser init-ed
2020-12-29 15:14:12|	main panel init-ed
2020-12-29 15:14:12|	file area init-ed
2020-12-29 15:14:12|	work area init-ed
2020-12-29 15:14:12|	components init-ed
2020-12-29 15:14:12|	button save init-ed
2020-12-29 15:14:12|	button load init-ed
2020-12-29 15:14:12|	button clear init-ed
2020-12-29 15:14:12|	button delete init-ed
2020-12-29 15:14:12|	add all in main panel
2020-12-29 15:14:12|	Finish init-ing Frame
2020-12-29 15:14:12|	MainFrame.run is listening
2020-12-29 15:17:39|	Click load
2020-12-29 15:17:42|	Repaint all
2020-12-29 15:18:55|	Clear all
2020-12-29 15:18:55|	Repaint all
2020-12-29 15:18:56|	Click button C
2020-12-29 15:18:57|	click on work area
2020-12-29 15:18:57|	Click in work area. Current component: C
2020-12-29 15:18:58|	click on work area
2020-12-29 15:18:58|	Click in work area. Current component: C
2020-12-29 15:18:58|	click on work area
2020-12-29 15:18:58|	Click in work area. Current component: C
2020-12-29 15:18:59|	click on work area
2020-12-29 15:18:59|	Click in work area. Current component: C
2020-12-29 15:19:01|	Click button choice/bind
2020-12-29 15:19:02|	click on work area
2020-12-29 15:19:02|	Click in work area. Current component: null
2020-12-29 15:19:02|	Choose 3th component: 255::0::0::C::Atom::4::88::170::12::12::0::-1::-1::-1::-1
2020-12-29 15:19:02|	Repaint all
2020-12-29 15:19:03|	click on work area
2020-12-29 15:19:03|	Click in work area. Current component: null
2020-12-29 15:19:03|	Choose 0th component: 255::0::0::C::Atom::4::144::171::12::12::0::-1::-1::-1::-1
2020-12-29 15:19:03|	Repaint all
2020-12-29 15:19:03|	click on work area
2020-12-29 15:19:03|	Click in work area. Current component: null
2020-12-29 15:19:03|	Choose 0th component: 255::0::0::C::Atom::4::144::171::12::12::1::3::-1::-1::-1
2020-12-29 15:19:03|	Repaint all
2020-12-29 15:19:04|	click on work area
2020-12-29 15:19:04|	Click in work area. Current component: null
2020-12-29 15:19:04|	Choose 3th component: 255::0::0::C::Atom::4::88::170::12::12::1::0::-1::-1::-1
2020-12-29 15:19:04|	Repaint all
2020-12-29 15:19:06|	click on work area
2020-12-29 15:19:06|	Click in work area. Current component: null
2020-12-29 15:19:06|	Choose 0th component: 255::0::0::C::Atom::4::144::171::12::12::2::3::3::-1::-1
2020-12-29 15:19:06|	Repaint all
2020-12-29 15:19:07|	click on work area
2020-12-29 15:19:07|	Click in work area. Current component: null
2020-12-29 15:19:07|	Choose 1th component: 255::0::0::C::Atom::4::191::170::12::12::0::-1::-1::-1::-1
2020-12-29 15:19:07|	Repaint all
2020-12-29 15:19:07|	click on work area
2020-12-29 15:19:07|	Click in work area. Current component: null
2020-12-29 15:19:07|	Choose 1th component: 255::0::0::C::Atom::4::191::170::12::12::1::0::-1::-1::-1
2020-12-29 15:19:07|	Repaint all
2020-12-29 15:19:08|	click on work area
2020-12-29 15:19:08|	Click in work area. Current component: null
2020-12-29 15:19:08|	Choose 2th component: 255::0::0::C::Atom::4::247::169::12::12::0::-1::-1::-1::-1
2020-12-29 15:19:08|	Repaint all
2020-12-29 15:19:09|	click on work area
2020-12-29 15:19:09|	Click in work area. Current component: null
2020-12-29 15:19:09|	Choose 2th component: 255::0::0::C::Atom::4::247::169::12::12::1::1::-1::-1::-1
2020-12-29 15:19:09|	Repaint all
2020-12-29 15:19:10|	click on work area
2020-12-29 15:19:10|	Click in work area. Current component: null
2020-12-29 15:19:10|	Choose 1th component: 255::0::0::C::Atom::4::191::170::12::12::2::0::2::-1::-1
2020-12-29 15:19:10|	Repaint all
2020-12-29 15:19:11|	Click button H
2020-12-29 15:19:12|	click on work area
2020-12-29 15:19:12|	Click in work area. Current component: H
2020-12-29 15:19:14|	click on work area
2020-12-29 15:19:14|	Click in work area. Current component: H
2020-12-29 15:19:15|	click on work area
2020-12-29 15:19:15|	Click in work area. Current component: H
2020-12-29 15:19:15|	click on work area
2020-12-29 15:19:15|	Click in work area. Current component: H
2020-12-29 15:19:15|	click on work area
2020-12-29 15:19:15|	Click in work area. Current component: H
2020-12-29 15:19:16|	Click button choice/bind
2020-12-29 15:19:18|	click on work area
2020-12-29 15:19:18|	Click in work area. Current component: null
2020-12-29 15:19:18|	Choose 6th component: 0::255::255::H::Atom::1::141::184::10::10::0::-1
2020-12-29 15:19:18|	Repaint all
2020-12-29 15:19:18|	click on work area
2020-12-29 15:19:18|	Click in work area. Current component: null
2020-12-29 15:19:18|	Choose 0th component: 255::0::0::C::Atom::4::144::171::12::12::3::3::3::1::-1
2020-12-29 15:19:18|	Repaint all
2020-12-29 15:19:19|	click on work area
2020-12-29 15:19:19|	Click in work area. Current component: null
2020-12-29 15:19:19|	Choose 8th component: 0::255::255::H::Atom::1::184::184::10::10::0::-1
2020-12-29 15:19:19|	Repaint all
2020-12-29 15:19:20|	click on work area
