2020-12-28 21:39:48|	Start init-ing Frame
2020-12-28 21:39:52|	Finish init-ing Frame
2020-12-28 21:39:57|	Click button C
2020-12-28 21:39:59|	Click in work area. Current component: C
2020-12-28 21:40:01|	Click in work area. Current component: C
2020-12-28 21:40:04|	Click button H
2020-12-28 21:40:05|	Click button C
2020-12-28 21:40:06|	Click in work area. Current component: C
2020-12-28 21:40:08|	Click in work area. Current component: C
2020-12-28 21:40:09|	Click button choice/bind
2020-12-28 21:40:10|	Click in work area. Current component: null
2020-12-28 21:40:10|	Choose 0th component: 255::0::0::C::Atom::4::141::172::12::12::0::-1::-1::-1::-1
2020-12-28 21:40:10|	Repaint all
2020-12-28 21:40:11|	Click in work area. Current component: null
2020-12-28 21:40:11|	Choose 1th component: 255::0::0::C::Atom::4::187::166::12::12::0::-1::-1::-1::-1
2020-12-28 21:40:11|	Repaint all
2020-12-28 21:40:11|	Click in work area. Current component: null
2020-12-28 21:40:11|	Choose 1th component: 255::0::0::C::Atom::4::187::166::12::12::1::0::-1::-1::-1
2020-12-28 21:40:11|	Repaint all
2020-12-28 21:40:12|	Repaint all
2020-12-28 21:40:12|	Click in work area. Current component: null
2020-12-28 21:40:12|	Choose 0th component: 255::0::0::C::Atom::4::142::171::12::12::1::1::-1::-1::-1
2020-12-28 21:40:12|	Repaint all
2020-12-28 21:40:13|	Click in work area. Current component: null
2020-12-28 21:40:13|	Choose 1th component: 255::0::0::C::Atom::4::187::166::12::12::2::0::0::-1::-1
2020-12-28 21:40:13|	Repaint all
2020-12-28 21:40:14|	Click in work area. Current component: null
2020-12-28 21:40:14|	Choose 0th component: 255::0::0::C::Atom::4::142::171::12::12::2::1::1::-1::-1
2020-12-28 21:40:14|	Repaint all
2020-12-28 21:40:15|	Repaint all
2020-12-28 21:40:16|	Click in work area. Current component: null
2020-12-28 21:40:16|	Choose 1th component: 255::0::0::C::Atom::4::186::167::12::12::3::0::0::0::-1
2020-12-28 21:40:16|	Repaint all
2020-12-28 21:40:17|	Click in work area. Current component: null
2020-12-28 21:40:17|	Choose 3th component: 255::0::0::C::Atom::4::221::159::12::12::0::-1::-1::-1::-1
2020-12-28 21:40:17|	Repaint all
2020-12-28 21:40:18|	Click in work area. Current component: null
2020-12-28 21:40:18|	Choose 2th component: 255::0::0::C::Atom::4::90::174::12::12::0::-1::-1::-1::-1
2020-12-28 21:40:18|	Repaint all
2020-12-28 21:40:19|	Click in work area. Current component: null
2020-12-28 21:40:19|	Choose 0th component: 255::0::0::C::Atom::4::142::171::12::12::3::1::1::1::-1
2020-12-28 21:40:19|	Repaint all
2020-12-28 21:40:20|	Click button H
2020-12-28 21:40:21|	Click in work area. Current component: H
2020-12-28 21:40:22|	Click in work area. Current component: H
2020-12-28 21:40:22|	Click in work area. Current component: H
2020-12-28 21:40:23|	Click in work area. Current component: H
2020-12-28 21:40:24|	Click in work area. Current component: H
2020-12-28 21:40:24|	Click in work area. Current component: H
2020-12-28 21:40:25|	Click button choice/bind
2020-12-28 21:40:26|	Click in work area. Current component: null
2020-12-28 21:40:26|	Choose 9th component: 0::255::255::H::Atom::1::90::198::10::10::0::-1
2020-12-28 21:40:26|	Repaint all
2020-12-28 21:40:27|	Click in work area. Current component: null
2020-12-28 21:40:27|	Choose 2th component: 255::0::0::C::Atom::4::90::174::12::12::1::0::-1::-1::-1
2020-12-28 21:40:27|	Repaint all
2020-12-28 21:40:28|	Click in work area. Current component: null
2020-12-28 21:40:28|	Choose 2th component: 255::0::0::C::Atom::4::90::174::12::12::2::0::9::-1::-1
2020-12-28 21:40:28|	Repaint all
2020-12-28 21:40:28|	Click in work area. Current component: null
2020-12-28 21:40:28|	Choose 8th component: 0::255::255::H::Atom::1::89::150::10::10::0::-1
2020-12-28 21:40:28|	Repaint all
2020-12-28 21:40:29|	Click in work area. Current component: null
2020-12-28 21:40:29|	Choose 7th component: 0::255::255::H::Atom::1::69::168::10::10::0::-1
2020-12-28 21:40:29|	Repaint all
2020-12-28 21:40:30|	Click in work area. Current component: null
2020-12-28 21:40:30|	Choose 2th component: 255::0::0::C::Atom::4::90::174::12::12::3::0::9::8::-1
2020-12-28 21:40:30|	Repaint all
2020-12-28 21:40:31|	Repaint all
2020-12-28 21:40:31|	Repaint all
2020-12-28 21:40:31|	Repaint all
2020-12-28 21:40:32|	Click in work area. Current component: null
2020-12-28 21:40:32|	Choose 3th component: 255::0::0::C::Atom::4::221::159::12::12::1::1::-1::-1::-1
2020-12-28 21:40:32|	Repaint all
2020-12-28 21:40:33|	Click in work area. Current component: null
